taskNum,completionTime,angleDiff,errors
1,10083,2.8877559,0
2,8774,2.946521,0
3,13360,4.330919,0
4,12330,1.6813977,0
5,16456,4.482983,0
6,7112,1.455861,0
7,14072,2.7274458,1
8,23298,1.7058913,0
9,7363,3.675842,0
10,10063,1.846466,0
11,13266,0.7423005,0
12,18018,1.7791091,0
