taskNum,completionTime,angleDiff,errors
1,5697,3.234747,0
2,2864,2.895336,0
3,5130,2.8177874,1
4,4499,2.814452,0
5,6196,1.6522839,0
6,4332,1.6916078,0
7,6145,4.0493617,0
8,3265,1.681863,0
9,4164,3.078011,0
10,5396,1.7273217,0
11,3881,2.2814486,0
12,3547,0.7883222,0
