taskNum,completionTime,angleDiff,errors
1,9645,1.1246442,0
2,11128,1.4761492,0
3,14359,3.9046836,0
4,16377,1.8234316,0
5,27264,1.3977118,0
6,21843,1.5850707,0
7,14859,1.7444559,0
8,13524,1.2808273,0
9,12724,2.312797,0
10,11575,1.8817366,0
11,10991,1.7574196,0
12,10861,1.077733,0
