taskNum,completionTime,angleDiff,errors
1,5622,1.6962287,0
2,7831,1.128812,0
3,20133,2.1623785,2
4,6995,3.283981,0
5,12221,4.558145,0
6,14361,1.39995,1
7,9915,3.4137123,0
8,11965,0.7506884,0
9,7258,2.935609,0
10,15951,3.1369557,0
11,12764,3.4479375,0
12,6777,0.5934709,0
