taskNum,completionTime,angleDiff,errors
1,7447,1.1696752,0
2,5679,3.1694763,0
3,10727,2.127713,0
4,4313,1.1736832,0
5,6661,2.310088,0
6,6680,1.2722433,0
7,4860,1.2629815,0
8,7213,1.8561901,0
9,6627,1.2881395,0
10,6330,3.4737227,0
11,11809,3.1216972,0
12,6313,1.9798406,0
