taskNum,completionTime,angleDiff,errors
1,5413,0.630558,0
2,6097,1.5875378,0
3,6212,1.1548599,0
4,15143,1.9979438,0
5,20858,1.9399033,0
6,8245,1.5791341,0
7,5197,0.3357176,0
8,4863,0.69210035,0
9,8576,2.895336,0
10,6747,1.2511512,0
11,6679,1.1922094,0
12,14990,1.5601853,0
