taskNum,completionTime,angleDiff,errors
1,5774,1.3252765,0
2,13648,1.0102593,0
3,12013,0.8374283,0
4,8673,2.5395992,0
5,8374,2.2835062,0
6,7230,1.1315821,0
7,16094,1.7205112,0
8,14701,1.1862861,0
9,10439,0.8775892,0
10,12945,2.3407187,0
11,14384,0.8784806,0
12,6353,2.0336666,0
