taskNum,completionTime,angleDiff,errors
1,6780,2.2458324,0
2,6464,1.1656532,0
3,6427,2.7417579,0
4,9226,3.386777,0
5,6763,3.2720408,0
6,5362,1.708642,0
7,6480,3.6057482,0
8,6663,1.4713695,0
9,6363,0.9658998,0
10,4928,3.9004712,0
11,5464,1.6071382,0
12,9728,1.370569,0
