taskNum,completionTime,angleDiff,errors
1,13373,3.8690352,1
2,13259,2.6232884,0
3,8956,3.7169275,0
4,9860,1.3527496,0
5,5279,3.9588404,0
6,9812,2.4027638,0
7,6097,4.3645906,0
8,7864,4.102182,0
9,5480,3.1116507,0
10,8196,3.3437438,0
