taskNum,completionTime,angleDiff,errors
1,100281,3.598359,0
2,29351,2.0290427,0
3,7246,3.6050966,0
4,13277,4.4184284,1
5,18856,2.7508783,0
6,15457,4.336519,1
7,58917,2.8888402,0
8,9878,2.322254,0
9,9827,3.5091474,0
10,21455,3.549515,0
