taskNum,completionTime,angleDiff,errors
1,21455,2.8812432,1
2,15560,2.9997044,0
3,7847,4.273233,1
4,6680,3.4017675,0
5,16427,3.7412782,0
6,10344,1.2710123,0
7,16336,3.1716983,0
8,12460,4.2067637,1
9,4781,2.098823,0
10,5503,1.8713089,0
