taskNum,completionTime,angleDiff,errors
1,7144,3.0947504,0
2,15408,3.1840146,0
3,5729,2.841302,0
4,5432,2.3540568,0
5,10380,2.476241,0
6,6460,2.3219168,0
7,6213,1.6678432,0
8,7012,3.562503,0
9,9695,2.0744405,0
10,9447,1.8388199,0
