taskNum,completionTime,angleDiff,errors
1,4579,4.484555,0
2,4914,3.33554,0
3,6608,3.473948,0
4,3493,3.7515168,0
5,13678,3.8847847,1
6,7995,2.7548592,0
7,10001,4.4868236,0
8,6397,4.2756143,0
9,5621,2.371284,0
10,4666,1.7587551,0
