taskNum,completionTime,angleDiff,errors
1,10461,1.3859023,0
2,10727,2.5586374,0
3,4333,1.3539065,0
4,12162,3.5501766,1
5,10627,0.8686248,0
6,6197,0.75484735,0
7,5645,2.3696332,0
8,6943,3.0280144,0
9,8129,2.3373725,0
10,4813,2.0259545,0
