taskNum,completionTime,angleDiff,errors
1,6220,1.4888204,0
2,7088,4.521932,0
3,12018,4.2334766,0
4,14579,4.427809,2
5,12410,3.2784941,0
6,9363,1.2555227,0
7,9064,3.760271,0
8,16366,3.4490721,0
9,4516,3.212894,0
10,5560,3.4594965,0
