taskNum,completionTime,angleDiff,errors
1,11826,2.7288802,0
2,7576,4.157533,0
3,9575,3.4854212,0
4,4190,4.221625,0
5,12052,4.408495,0
6,4292,2.7653525,0
7,12866,1.573175,0
8,5709,2.3202307,0
9,3293,3.4508874,0
10,5916,3.020508,0
